2026-06-03 10:44:17,697 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 10:44:23,060 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 2, 'failed': 3, 'pass_percent': 40.0}
2026-06-03 13:00:19,760 | INFO | framework | Execution started at 2026-06-03T13:00:19.760723
2026-06-03 13:00:20,092 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:00:25,615 | INFO | framework | Execution completed. Summary={'total': 5, 'passed': 3, 'failed': 2, 'pass_percent': 60.0}
2026-06-03 13:14:30,276 | INFO | framework | Execution started at 2026-06-03T13:14:30.276157
2026-06-03 13:14:30,619 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:14:48,744 | INFO | framework | Execution completed. Summary={'total': 6, 'passed': 4, 'failed': 2, 'pass_percent': 66.67}
2026-06-03 13:15:30,348 | INFO | framework | Execution started at 2026-06-03T13:15:30.348057
2026-06-03 13:15:30,516 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:15:48,046 | INFO | framework | Execution completed. Summary={'total': 6, 'passed': 5, 'failed': 1, 'pass_percent': 83.33}
2026-06-03 13:23:18,104 | INFO | framework | Execution started at 2026-06-03T13:23:18.104376
2026-06-03 13:23:18,418 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:23:36,288 | INFO | framework | Execution completed. Summary={'total': 7, 'passed': 5, 'failed': 2, 'pass_percent': 71.43}
2026-06-03 13:26:58,063 | INFO | framework | Execution started at 2026-06-03T13:26:58.062714
2026-06-03 13:26:58,238 | INFO | framework | Auth token captured from tc_id=TC001
2026-06-03 13:27:15,773 | INFO | framework | Execution completed. Summary={'total': 7, 'passed': 7, 'failed': 0, 'pass_percent': 100.0}
2026-06-03 14:14:10,988 | INFO | framework | Execution started at 2026-06-03T14:14:10.988418
2026-06-03 14:14:11,244 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 14:14:28,946 | INFO | framework | Execution completed. Summary={'total': 8, 'passed': 6, 'failed': 2, 'pass_percent': 75.0}
2026-06-03 14:20:48,651 | INFO | framework | Execution started at 2026-06-03T14:20:48.651192
2026-06-03 14:20:48,920 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 14:21:06,419 | INFO | framework | Execution completed. Summary={'total': 8, 'passed': 6, 'failed': 2, 'pass_percent': 75.0}
2026-06-03 14:23:33,830 | INFO | framework | Execution started at 2026-06-03T14:23:33.830262
2026-06-03 14:23:34,043 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 14:23:34,200 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 14:23:51,753 | INFO | framework | Execution completed. Summary={'total': 9, 'passed': 8, 'failed': 1, 'pass_percent': 88.89}
2026-06-03 14:27:44,771 | INFO | framework | Execution started at 2026-06-03T14:27:44.771409
2026-06-03 14:27:44,980 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 14:27:45,107 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 14:28:02,642 | INFO | framework | Execution completed. Summary={'total': 9, 'passed': 8, 'failed': 1, 'pass_percent': 88.89}
2026-06-03 14:29:13,077 | INFO | framework | Execution started at 2026-06-03T14:29:13.076886
2026-06-03 14:29:13,289 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 14:29:13,469 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 14:29:30,994 | INFO | framework | Execution completed. Summary={'total': 9, 'passed': 8, 'failed': 1, 'pass_percent': 88.89}
